,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
10832,81.0,24.0,0.0,4.8523998,0,0,0.07464691101291049,-0.041114500294773544,3.663894923919767,0.005863453876676435,0.08478352536072764
10854,323.0,3.0,23.638,11.0606,0,0,0.0,0.003585318424890617,4.592449621578711,0.19674690184946336,0.3130194783479193
10856,14.0,3.0,0.0,5.6514001,0,0,0.0005664805535324108,0.009371438211828275,3.1650108053759896,0.014842137348012374,0.3130194783479193
10863,14.0,4.0,0.0,5.4461002,0,0,0.00223968725821558,0.002459938150126511,4.264649766520309,0.033690055740119705,-0.12449832716968849
10873,323.0,4.0,65.012,12.5844,0,0,0.0,0.0038158015133195524,5.035874098959881,0.2799017079556315,-0.12449832716968849
10894,323.0,5.0,127.787,11.336,0,0,0.0,0.003393573526715865,5.4577156819907,0.3698395804986367,0.12208801792870141
10907,323.0,6.0,137.296,1.4792,0,0,0.0,0.0031807511076332395,5.179708364875619,0.21944794263445908,0.1942563164402284
10913,323.0,7.0,45.489,1.5015,0,0,0.0,0.00569166526190183,4.659592081196235,0.18765918572109005,0.016714000452772063
10929,323.0,8.0,32.377,6.3119001,1,0,0.0,0.00822216294271208,4.577778433996119,0.15398459244003157,0.20380480746088595
10936,14.0,8.0,0.0,3.8961,1,0,0.053419999999999995,-0.014985382585568757,4.96986190950563,0.04182318225868639,0.20380480746088595
10949,383.0,9.0,0.0,10.833,0,0,1.5342285676671934,-0.711188448875803,2.0111627009265414,0.002495583874438515,0.2730042684237936
10950,323.0,9.0,24.641,6.9429998,0,0,0.0,0.007837912078222362,4.625639257827432,0.12974604956891908,0.2730042684237936
10952,14.0,9.0,0.0,3.0107999,0,0,0.15617237005541754,-0.02365996235014366,5.019892315358932,0.02750793136374249,0.2730042684237936
10958,442.0,9.0,18.231,1.5972,0,0,0.020863215233910097,-0.014124874578649282,4.761199100827122,0.06459540914808506,0.2730042684237936
10960,14.0,10.0,0.0,2.9260001,0,0,0.20986509274873524,-0.033876784977976165,5.029057884612254,0.020545985365564675,0.13787925466332168
10962,383.0,10.0,0.0,8.3855,0,0,2.5901638083228247,-0.5905570137027107,1.9041948985578432,0.0009158497130350078,0.13787925466332168
10977,323.0,10.0,20.515,6.3323998,0,0,0.0,0.004641620482542865,4.679544551227453,0.12449550525387351,0.13787925466332168
10983,442.0,10.0,7.216,1.676,0,0,0.033307273583397,-0.024506298255061603,4.823638826917058,0.06499761160138362,0.13787925466332168
10991,323.0,11.0,20.385,7.5384998,0,0,0.0,0.004721361168379471,4.844832547395193,0.11223838347780445,0.23362089262697497
10992,14.0,11.0,0.0,2.0947001,0,0,0.2874497630331754,-0.04540012846554299,5.001782893630209,0.015605542003649454,0.23362089262697497
11009,14.0,12.0,0.0,1.92,0,0,0.08204201490851593,-0.004735221686983879,4.804545497347873,0.021270111227691266,-0.025730570069213456
11013,442.0,11.0,2.991,1.4436001,0,0,0.030824802121752107,-0.025778329135287065,5.060142661331533,0.0677744317157715,0.23362089262697497
11022,323.0,12.0,20.35,5.2196002,0,0,0.0,0.005419928224663771,4.860997748075782,0.08272761602705138,-0.025730570069213456
11032,323.0,13.0,0.0,5.4987998,0,0,0.0,0.0044944495048614965,4.894086496454675,0.054589689673301425,0.05052991428779367
11035,14.0,13.0,7.5,1.4816,0,0,0.014991805907330156,0.01122781098711742,4.9852764596293655,0.024558042700214423,0.05052991428779367
11046,442.0,12.0,0.0,1.3599,0,0,0.02519263729796301,-0.022030706777194067,5.255863833458939,0.08816790221253022,-0.025730570069213456
11060,304.0,14.0,0.081,4.9404998,0,0,0.04699091523062798,-0.03725562232963618,4.529195857890502,0.0404043258581955,0.07266164394261859
11077,14.0,14.0,7.5,1.8082,0,0,0.021941809998392542,0.0015051639217583538,5.002744241473485,0.026524625767845488,0.07266164394261859
11080,442.0,13.0,0.0,1.3149,0,0,0.028406906803530075,-0.021613341500954703,5.618507770594967,0.10229987103505962,0.05052991428779367
